0, PIB CONSTANTE 2010 ,PIB PER CAPITA,PIB/1000
1,"147,593,000,000.00",4.315381988,147593000
2,"154,973,000,000.00",4.54241507,154973000
3,"162,202,000,000.00",4.726918575,162202000
4,"175,351,000,000.00",5.113070119,175351000
5,"196,227,000,000.00",5.868451437,196227000
6,"210,160,000,000.00",6.187129669,210160000
7,"222,971,000,000.00",6.678421714,222971000
8,"236,026,000,000.00",7.070417611,236026000
9,"258,267,000,000.00",7.577639003,258267000
10,"267,097,000,000.00",8.128896427,267097000
11,"284,464,000,000.00",8.622436609,284464000
12,"295,167,000,000.00",9.231979736,295167000
13,"319,456,000,000.00",10.33096707,319456000
14,"344,569,000,000.00",12.26823881,344569000
15,"364,474,000,000.00",15.52612768,364474000
16,"385,411,000,000.00",18.45391336,385411000
17,"402,437,000,000.00",22.38652798,402437000
18,"416,082,000,000.00",29.40993881,416082000
19,"453,350,000,000.00",36.23544068,453350000
20,"497,317,000,000.00",46.39774936,497317000
21,"543,235,000,000.00",69.62962615,543235000
22,"589,549,000,000.00",93.17425633,589549000
23,"586,479,000,000.00",146.5262275,586479000
24,"566,032,000,000.00",257.9411438,566032000
25,"585,338,000,000.00",415.8437783,585338000
26,"598,143,000,000.00",660.0376911,598143000
27,"579,727,000,000.00",1060.808065,579727000
28,"589,712,000,000.00",2567.429767,589712000
29,"597,280,000,000.00",5109.886741,597280000
30,"621,801,000,000.00",6616.302311,621801000
31,"653,984,000,000.00",8753.566962,653984000
32,"681,548,000,000.00",11053.22348,681548000
33,"705,682,000,000.00",12907.66201,705682000
34,"719,381,000,000.00",17603.2219,719381000
35,"754,926,000,000.00",19759.24571,754926000
36,"707,432,000,000.00",25216.84067,707432000
37,"755,348,000,000.00",33529.43695,755348000
38,"807,065,000,000.00",41882.27671,807065000
39,"848,742,000,000.00",50076.07416,848742000
40,"872,112,000,000.00",58865.22294,872112000
41,"915,216,000,000.00",67681.43078,915216000
42,"911,515,000,000.00",70483.62368,911515000
43,"911,152,000,000.00",73319.33853,911152000
44,"924,331,000,000.00",76336.16308,924331000
45,"960,570,000,000.00",84469.91511,960570000
46,"982,738,000,000.00",90209.23353,982738000
47,"1,026,910,000,000.00",98837.15418,1026910000
48,"1,050,440,000,000.00",105377.1422,1050440000
49,"1,062,460,000,000.00",111481.4336,1062460000
50,"1,006,300,000,000.00",108148.1636,1006300000
51,"1,057,800,000,000.00",117153.3881,1057800000
52,"1,096,550,000,000.00",126760.1583,1096550000
53,"1,136,490,000,000.00",134878.4358,1136490000
54,"1,151,880,000,000.00",136982.0413,1151880000
55,"1,184,180,000,000.00",145185.6836,1184180000
56,"1,223,120,000,000.00",152238.0146,1223120000
57,"1,258,720,000,000.00",163119.6808,1258720000
58,"1,285,380,000,000.00",175607.9815,1285380000
59,"1,312,830,000,000.00",186158.6521,1312830000
